x,y,z
-83.52272727272727,43.05,100.200005
-83.06818181818181,43.05,99.4
-82.61363636363636,43.05,115.1
-82.1590909090909,43.05,134.6
-81.70454545454545,43.05,136.5
-81.25,43.05,132.1
-80.79545454545455,43.05,131.7
-80.3409090909091,43.05,138.8
-79.88636363636364,43.05,153.90001
-79.43181818181819,43.05,161.1
-78.97727272727273,43.05,175.0
-83.52272727272727,42.65,90.5
-83.06818181818181,42.65,87.5
-82.61363636363636,42.65,106.700005
-82.1590909090909,42.65,115.700005
-81.70454545454545,42.65,119.3
-81.25,42.65,127.1
-80.79545454545455,42.65,132.40001
-80.3409090909091,42.65,152.90001
-79.88636363636364,42.65,164.3
-79.43181818181819,42.65,183.8
-78.97727272727273,42.65,192.3
-83.52272727272727,42.25,87.5
-83.06818181818181,42.25,83.9
-82.61363636363636,42.25,92.8
-82.1590909090909,42.25,96.1
-81.70454545454545,42.25,109.700005
-81.25,42.25,116.9
-80.79545454545455,42.25,131.1
-80.3409090909091,42.25,135.40001
-79.88636363636364,42.25,152.2
-79.43181818181819,42.25,171.2
-78.97727272727273,42.25,175.2
-83.52272727272727,41.85,91.8
-83.06818181818181,41.85,89.3
-82.61363636363636,41.85,89.6
-82.1590909090909,41.85,93.700005
-81.70454545454545,41.85,104.0
-81.25,41.85,111.9
-80.79545454545455,41.85,121.200005
-80.3409090909091,41.85,120.8
-79.88636363636364,41.85,129.1
-79.43181818181819,41.85,142.8
-78.97727272727273,41.85,148.5
-83.52272727272727,41.45,91.8
-83.06818181818181,41.45,91.5
-82.61363636363636,41.45,90.1
-82.1590909090909,41.45,94.3
-81.70454545454545,41.45,100.5
-81.25,41.45,113.200005
-80.79545454545455,41.45,119.8
-80.3409090909091,41.45,124.0
-79.88636363636364,41.45,114.1
-79.43181818181819,41.45,124.1
-78.97727272727273,41.45,130.7
