date,p.ERA5_Land,p.CRUTS,e.ERA5_Land,e.CRUTS
1901-01-01,,158.59999,,29.676563
1901-02-01,,155.275,,40.32969
1901-03-01,,22.474998,,60.875
1901-04-01,,55.65,,92.07343
1901-05-01,,53.15,,108.81406
1901-06-01,,2.475,,158.27501
1901-07-01,,0.65000004,,183.38594
1901-08-01,,12.9,,163.60156
1901-09-01,,31.2,,117.18437
1901-10-01,,39.0,,80.65938
1901-11-01,,50.524998,,44.134377
1901-12-01,,41.45,,32.720314
1902-01-01,,26.55,,32.720314
1902-02-01,,120.200005,,41.090626
1902-03-01,,62.175003,,57.070312
1902-04-01,,30.375002,,81.42032
1902-05-01,,31.024998,,107.29219
1902-06-01,,0.45000002,,172.73282
1902-07-01,,1.95,,187.95157
1902-08-01,,4.225,,159.03593
1902-09-01,,0.47500002,,131.6422
1902-10-01,,21.725002,,76.85469
1902-11-01,,85.2,,38.046875
1902-12-01,,46.3,,28.915627
1903-01-01,,150.70001,,25.871876
1903-02-01,,25.15,,47.178123
1903-03-01,,117.05,,58.592194
1903-04-01,,18.85,,86.74688
1903-05-01,,7.65,,130.88126
1903-06-01,,5.35,,168.16719
1903-07-01,,0.025,,173.49376
1903-08-01,,0.575,,164.36252
1903-09-01,,1.65,,122.51095
1903-10-01,,11.425,,79.137505
1903-11-01,,61.100002,,42.612503
1903-12-01,,21.325,,32.720314
1904-01-01,,40.075,,38.046875
1904-02-01,,156.4,,44.895313
1904-03-01,,118.925,,56.309376
1904-04-01,,43.425003,,87.50781
1904-05-01,,12.825001,,136.96875
1904-06-01,,0.375,,172.73282
1904-07-01,,10.125,,183.38594
1904-08-01,,14.125,,170.45001
1904-09-01,,61.925,,118.70625
1904-10-01,,77.6,,73.05
1904-11-01,,21.900002,,52.504692
1904-12-01,,68.05,,31.198437
1905-01-01,,43.575,,34.242188
1905-02-01,,59.675003,,46.417187
1905-03-01,,104.2,,61.63594
1905-04-01,,29.550001,,95.11719
1905-05-01,,92.975,,113.379684
1905-06-01,,1.8499999,,162.07968
1905-07-01,,0.15,,193.27812
1905-08-01,,0.55,,171.21094
1905-09-01,,7.65,,126.31563
1905-10-01,,0.625,,84.464066
1905-11-01,,60.65,,51.74375
1905-12-01,,34.7,,31.959373
1906-01-01,,193.625,,38.80781
1906-02-01,,84.575,,46.41719
1906-03-01,,174.7,,60.114067
1906-04-01,,67.3,,86.74688
1906-05-01,,77.75,,107.29219
1906-06-01,,25.599998,,147.62189
1906-07-01,,7.175,,194.8
1906-08-01,,11.325,,165.12344
1906-09-01,,5.575,,129.35938
1906-10-01,,0.375,,84.464066
1906-11-01,,56.425003,,49.460938
1906-12-01,,239.2,,22.828125
1907-01-01,,138.75,,29.676563
1907-02-01,,52.025,,41.090626
1907-03-01,,152.325,,59.353127
1907-04-01,,35.45,,95.11719
1907-05-01,,15.625,,124.03282
1907-06-01,,34.775,,152.94844
1907-07-01,,0.1,,180.3422
1907-08-01,,7.6000004,,159.79688
1907-09-01,,1.1,,114.140625
1907-10-01,,23.525,,65.44063
1907-11-01,,5.4500003,,49.460938
1907-12-01,,116.2,,27.393751
1908-01-01,,125.40001,,29.676563
1908-02-01,,81.675,,46.417187
1908-03-01,,32.625,,73.05
1908-04-01,,21.45,,106.53125
1908-05-01,,53.000004,,113.379684
1908-06-01,,5.25,,157.51407
1908-07-01,,8.4,,198.60469
1908-08-01,,2.075,,172.73282
1908-09-01,,19.075,,127.07657
1908-10-01,,16.4,,73.05
1908-11-01,,30.575,,51.74375
1908-12-01,,39.699997,,28.15469
1909-01-01,,333.925,,25.871876
1909-02-01,,119.95,,37.285934
1909-03-01,,73.825,,60.114067
1909-04-01,,2.65,,111.85782
1909-05-01,,3.1749997,,127.8375
1909-06-01,,33.0,,162.84064
1909-07-01,,0.075,,183.38594
1909-08-01,,1.025,,165.88438
1909-09-01,,3.45,,123.27188
1909-10-01,,54.125,,73.05
1909-11-01,,110.425,,41.851566
