date,p.ERA5Land,p.CRUTS,e.ERA5Land,e.CRUTS
1901-01-01,,6.3250003,,13.696875
1901-02-01,,9.3625,,15.21875
1901-03-01,,43.25,,34.622658
1901-04-01,,43.6,,77.99609
1901-05-01,,14.8375,,132.02266
1901-06-01,,210.96251,,116.80391
1901-07-01,,115.2375,,133.54454
1901-08-01,,76.1875,,120.6086
1901-09-01,,47.649998,,77.23515
1901-10-01,,79.725006,,57.831253
1901-11-01,,9.8625,,23.969532
1901-12-01,,18.0125,,8.750782
1902-01-01,,8.15,,16.740625
1902-02-01,,15.225,,21.686718
1902-03-01,,33.862503,,46.41719
1902-04-01,,31.6875,,72.28906
1902-05-01,,121.375,,113.37969
1902-06-01,,88.125,,121.75
1902-07-01,,87.037506,,138.49063
1902-08-01,,96.825005,,107.67265
1902-09-01,,27.25,,75.33281
1902-10-01,,59.8875,,52.124218
1902-11-01,,28.450003,,22.828125
1902-12-01,,21.037498,,14.457812
1903-01-01,,19.6375,,12.175
1903-02-01,,12.450001,,19.023438
1903-03-01,,22.4375,,36.525
1903-04-01,,40.8875,,74.19141
1903-05-01,,81.875,,117.56484
1903-06-01,,28.1375,,134.30548
1903-07-01,,60.7625,,129.35938
1903-08-01,,122.8375,,93.975784
1903-09-01,,115.925,,74.19141
1903-10-01,,63.925003,,52.88516
1903-11-01,,18.787498,,17.88203
1903-12-01,,30.6875,,6.0875
1904-01-01,,8.125,,9.511719
1904-02-01,,29.7375,,12.175
1904-03-01,,50.25,,32.339844
1904-04-01,,41.7125,,54.7875
1904-05-01,,42.4,,108.43359
1904-06-01,,112.46251,,112.61875
1904-07-01,,81.600006,,123.27187
1904-08-01,,54.725,,109.575005
1904-09-01,,91.162506,,68.86485
1904-10-01,,50.475,,41.851562
1904-11-01,,4.45,,27.013283
1904-12-01,,18.15,,12.935938
1905-01-01,,10.3625,,10.653126
1905-02-01,,6.75,,15.21875
1905-03-01,,33.45,,37.285942
1905-04-01,,40.887497,,65.44063
1905-05-01,,120.125,,102.34609
1905-06-01,,147.40001,,111.09688
1905-07-01,,140.76251,,125.17422
1905-08-01,,101.825005,,114.901566
1905-09-01,,81.275,,89.41016
1905-10-01,,42.775,,42.99297
1905-11-01,,52.4375,,22.447657
1905-12-01,,5.3375006,,13.696875
1906-01-01,,27.5625,,15.979689
1906-02-01,,4.1875,,18.2625
1906-03-01,,15.1625,,23.969532
1906-04-01,,44.6125,,84.464066
1906-05-01,,108.137505,,104.24844
1906-06-01,,107.9375,,112.61875
1906-07-01,,63.15,,131.6422
1906-08-01,,100.1625,,115.6625
1906-09-01,,69.762505,,98.541405
1906-10-01,,38.5,,49.841408
1906-11-01,,67.8625,,18.2625
1906-12-01,,36.7125,,12.175
1907-01-01,,38.5875,,11.033594
1907-02-01,,8.3,,20.164843
1907-03-01,,21.2,,35.383595
1907-04-01,,27.087502,,52.88516
1907-05-01,,45.6875,,84.84453
1907-06-01,,103.725006,,129.73984
1907-07-01,,73.350006,,133.16406
1907-08-01,,86.5,,116.04297
1907-09-01,,80.1875,,74.57188
1907-10-01,,25.925,,54.026566
1907-11-01,,12.3,,23.208593
1907-12-01,,14.012501,,17.501564
1908-01-01,,6.0125,,19.023438
1908-02-01,,34.3125,,22.067188
1908-03-01,,30.925,,38.807816
1908-04-01,,31.587502,,89.41016
1908-05-01,,105.925,,106.91172
1908-06-01,,86.075,,115.6625
1908-07-01,,62.975,,145.71954
1908-08-01,,76.225,,114.521095
1908-09-01,,48.5625,,105.009384
1908-10-01,,33.075,,49.460938
1908-11-01,,27.8125,,25.110939
1908-12-01,,13.925001,,11.4140625
1909-01-01,,24.1125,,15.979689
1909-02-01,,11.8375,,19.403906
1909-03-01,,14.775001,,34.622658
1909-04-01,,27.0375,,51.74375
1909-05-01,,65.0875,,108.05312
1909-06-01,,67.925,,144.57812
1909-07-01,,129.26251,,136.20781
1909-08-01,,137.45001,,127.45703
1909-09-01,,62.925003,,91.3125
1909-10-01,,48.9,,49.460938
1909-11-01,,36.2125,,27.393751
1909-12-01,,35.2875,,6.467969
1910-01-01,,8.25,,16.740625
1910-02-01,,12.950001,,15.599218
1910-03-01,,20.5375,,68.864845
1910-04-01,,49.1375,,99.30234
1910-05-01,,28.7625,,113.760155
1910-06-01,,30.7,,163.98203
1910-07-01,,55.9,,148.76328
1910-08-01,,34.7125,,121.36953
1910-09-01,,68.1375,,89.029686
1910-10-01,,26.875,,69.245316
1910-11-01,,21.037498,,12.175
1910-12-01,,18.587502,,11.794531
1911-01-01,,17.5125,,14.457813
1911-02-01,,26.8,,22.067188
1911-03-01,,19.525002,,46.41719
1911-04-01,,41.5125,,79.137505
1911-05-01,,99.0,,138.8711
1911-06-01,,85.5875,,154.08984
1911-07-01,,71.3625,,138.11015
1911-08-01,,122.175,,110.71641
1911-09-01,,58.2375,,79.137505
1911-10-01,,34.050003,,40.71016
1911-11-01,,32.825,,14.838282
1911-12-01,,17.075,,11.4140625
1912-01-01,,9.025001,,6.0875
1912-02-01,,6.075,,12.935938
1912-03-01,,9.125,,30.817968
1912-04-01,,35.4,,91.3125
1912-05-01,,75.825,,120.98906
1912-06-01,,41.7375,,131.64218
1912-07-01,,98.4375,,135.44687
1912-08-01,,97.3,,95.49766
1912-09-01,,102.125,,76.47422
1912-10-01,,23.3875,,56.309376
1912-11-01,,7.775,,23.969532
1912-12-01,,23.175001,,16.740625
1913-01-01,,10.75,,13.316406
1913-02-01,,8.6125,,15.599218
1913-03-01,,28.1625,,28.15469
1913-04-01,,31.974998,,85.98594
1913-05-01,,59.850002,,103.86797
1913-06-01,,82.025,,144.95859
1913-07-01,,137.51251,,126.69609
1913-08-01,,64.8375,,128.21797
1913-09-01,,67.25,,87.12734
1913-10-01,,84.625,,47.558594
1913-11-01,,14.9125,,26.252346
1913-12-01,,1.3750001,,19.023438
1914-01-01,,23.075,,20.164845
1914-02-01,,10.0375,,13.696875
1914-03-01,,28.4875,,31.959375
1914-04-01,,42.0,,64.299225
1914-05-01,,59.0875,,125.93516
1914-06-01,,160.6875,,133.16406
1914-07-01,,67.2625,,148.38281
1914-08-01,,99.375,,114.140625
1914-09-01,,63.375,,89.41016
1914-10-01,,64.2875,,62.016407
1914-11-01,,15.8625,,24.730469
1914-12-01,,8.762501,,8.750782
1915-01-01,,16.8625,,9.892188
1915-02-01,,24.987501,,22.067188
1915-03-01,,5.4375,,35.003128
1915-04-01,,28.05,,100.06328
1915-05-01,,76.45,,97.4
1915-06-01,,192.9375,,113.379684
1915-07-01,,75.825005,,122.8914
1915-08-01,,28.25,,116.8039
1915-09-01,,55.9875,,80.27891
1915-10-01,,30.050001,,58.592186
1915-11-01,,32.475,,17.501564
1915-12-01,,19.2625,,11.4140625
1916-01-01,,43.375,,9.892188
1916-02-01,,9.825001,,14.838282
1916-03-01,,45.875,,30.4375
1916-04-01,,51.5625,,58.972656
1916-05-01,,73.425,,103.10703
1916-06-01,,97.2375,,109.575005
1916-07-01,,63.137497,,155.23126
1916-08-01,,132.0125,,115.6625
1916-09-01,,59.787502,,76.85469
1916-10-01,,32.9625,,38.427345
1916-11-01,,1.85,,25.491405
1916-12-01,,34.6125,,11.033594
1917-01-01,,8.975,,11.794531
1917-02-01,,27.575,,10.653126
1917-03-01,,12.3125,,32.720314
1917-04-01,,29.250002,,62.016407
1917-05-01,,3.4125,,121.36953
1917-06-01,,56.0375,,128.59845
1917-07-01,,61.0375,,147.62189
1917-08-01,,50.825005,,118.325775
1917-09-01,,47.612503,,77.99609
1917-10-01,,49.387497,,25.871876
1917-11-01,,6.35,,27.013283
1917-12-01,,19.525002,,9.13125
1918-01-01,,14.575001,,6.467969
1918-02-01,,8.325,,23.208593
1918-03-01,,4.1875,,59.353127
1918-04-01,,50.925003,,81.03984
1918-05-01,,71.8125,,122.8914
1918-06-01,,46.2875,,132.7836
1918-07-01,,68.55,,137.34921
1918-08-01,,102.9875,,126.69609
1918-09-01,,15.800001,,73.81094
1918-10-01,,50.4625,,52.88516
1918-11-01,,35.7625,,22.447657
1918-12-01,,30.1625,,16.740625
1919-01-01,,9.575,,16.740625
1919-02-01,,17.6,,18.262499
1919-03-01,,20.6,,32.339844
1919-04-01,,29.412502,,73.810936
1919-05-01,,69.1875,,122.51094
1919-06-01,,110.0375,,133.16406
1919-07-01,,146.26251,,146.86093
1919-08-01,,130.77501,,113.37969
1919-09-01,,48.300003,,80.65938
1919-10-01,,39.95,,30.81797
1919-11-01,,55.825,,16.360157
1919-12-01,,7.5375,,9.13125
1920-01-01,,28.05,,10.272657
1920-02-01,,11.512501,,16.740625
1920-03-01,,17.962502,,38.427345
1920-04-01,,17.7,,55.92891
1920-05-01,,70.45,,121.75
1920-06-01,,97.95,,130.88126
1920-07-01,,86.5,,133.16406
1920-08-01,,49.662502,,124.03281
1920-09-01,,76.2625,,90.55156
1920-10-01,,26.2875,,63.91875
1920-11-01,,16.962502,,17.88203
1920-12-01,,20.3125,,10.272657
1921-01-01,,13.712501,,16.360157
1921-02-01,,17.4125,,22.828125
1921-03-01,,25.95,,35.003128
1921-04-01,,44.375004,,87.88828
1921-05-01,,81.525,,124.032814
1921-06-01,,80.537506,,135.0664
1921-07-01,,90.600006,,151.80704
1921-08-01,,56.75,,125.93516
1921-09-01,,80.9875,,77.61563
1921-10-01,,14.625001,,53.26563
1921-11-01,,16.400002,,12.935938
1921-12-01,,19.7875,,10.272657
1922-01-01,,9.6375,,12.175
1922-02-01,,32.6875,,14.457813
1922-03-01,,33.7375,,33.861717
1922-04-01,,43.037502,,68.10391
1922-05-01,,84.325,,122.8914
1922-06-01,,78.525,,133.925
1922-07-01,,66.912506,,129.73985
1922-08-01,,54.125,,132.40314
1922-09-01,,67.2375,,91.69297
1922-10-01,,19.1,,61.63594
1922-11-01,,78.6125,,21.686718
1922-12-01,,29.525002,,10.653126
1923-01-01,,20.8375,,15.21875
1923-02-01,,15.3125,,14.457812
1923-03-01,,14.9875,,25.871876
1923-04-01,,38.1375,,71.14766
1923-05-01,,39.612503,,124.413284
1923-06-01,,105.7375,,148.38281
1923-07-01,,91.8625,,144.57812
1923-08-01,,41.775,,113.379684
1923-09-01,,46.487503,,93.595314
1923-10-01,,19.5875,,50.98281
1923-11-01,,12.775,,24.35
1923-12-01,,13.0,,17.501564
1924-01-01,,10.2375,,10.272657
1924-02-01,,8.9875,,23.208595
1924-03-01,,13.35,,33.861717
1924-04-01,,65.8625,,61.25547
1924-05-01,,53.0875,,91.69297
1924-06-01,,66.6875,,121.75
1924-07-01,,82.512505,,125.17422
1924-08-01,,74.9875,,111.09688
1924-09-01,,77.662506,,68.10391
1924-10-01,,51.15,,68.10391
1924-11-01,,10.275,,20.164845
1924-12-01,,14.175,,9.13125
1925-01-01,,10.7875,,14.077344
1925-02-01,,15.0,,21.30625
1925-03-01,,21.2625,,42.232033
1925-04-01,,67.75,,85.225006
1925-05-01,,49.050003,,111.47735
1925-06-01,,173.9,,114.521095
1925-07-01,,37.675003,,126.31563
1925-08-01,,76.225,,124.413284
1925-09-01,,113.9,,81.03985
1925-10-01,,28.224998,,25.871876
1925-11-01,,20.587502,,20.545311
1925-12-01,,8.525,,9.13125
1926-01-01,,16.625,,15.21875
1926-02-01,,12.075001,,22.067188
1926-03-01,,18.675001,,28.915627
1926-04-01,,5.1875,,83.32266
1926-05-01,,54.8375,,133.16406
1926-06-01,,89.6875,,115.28203
1926-07-01,,63.0,,139.63203
1926-08-01,,69.0625,,114.140625
1926-09-01,,78.2125,,65.82109
1926-10-01,,76.0625,,39.188282
1926-11-01,,40.7625,,13.316406
1926-12-01,,18.5125,,9.13125
1927-01-01,,14.137501,,14.077344
1927-02-01,,15.862499,,20.545311
1927-03-01,,23.7875,,37.666405
1927-04-01,,45.1375,,66.20157
1927-05-01,,107.149994,,83.32266
1927-06-01,,91.25,,119.46719
1927-07-01,,68.5,,122.51093
1927-08-01,,93.4375,,108.05313
1927-09-01,,30.925001,,72.66953
1927-10-01,,48.862503,,50.602345
1927-11-01,,21.487501,,17.121094
1927-12-01,,26.4375,,7.2289066
1928-01-01,,7.3125,,12.175
1928-02-01,,4.4625,,19.023438
1928-03-01,,29.550001,,33.861717
1928-04-01,,32.425,,60.875
1928-05-01,,23.587502,,128.21797
1928-06-01,,128.33751,,108.43359
1928-07-01,,109.375,,125.17422
1928-08-01,,126.475,,114.521095
1928-09-01,,65.3625,,68.864845
1928-10-01,,34.287502,,46.41719
1928-11-01,,13.737501,,23.208593
1928-12-01,,15.450001,,14.457812
1929-01-01,,27.375,,6.0875
1929-02-01,,6.8625,,14.838282
1929-03-01,,19.675001,,39.94922
1929-04-01,,28.3,,76.47422
1929-05-01,,42.375,,102.72656
1929-06-01,,48.275,,137.72968
1929-07-01,,46.5375,,148.00235
1929-08-01,,41.125,,130.12032
1929-09-01,,59.3125,,73.05
1929-10-01,,58.287502,,49.460938
1929-11-01,,19.150002,,14.838282
1929-12-01,,22.812502,,9.13125
1930-01-01,,8.525,,9.13125
1930-02-01,,37.975,,22.828125
1930-03-01,,14.5625,,33.10078
1930-04-01,,19.112501,,82.18125
1930-05-01,,112.5875,,108.05312
1930-06-01,,84.15,,131.26172
1930-07-01,,41.5625,,148.00235
1930-08-01,,21.0625,,139.63203
1930-09-01,,51.9,,83.703125
1930-10-01,,41.050003,,40.71016
1930-11-01,,62.475,,23.208593
1930-12-01,,8.2875,,12.175
1931-01-01,,4.4750004,,18.642967
1931-02-01,,7.5000005,,27.77422
1931-03-01,,32.85,,34.242188
1931-04-01,,10.9125,,84.84453
1931-05-01,,61.737503,,107.67266
1931-06-01,,87.9625,,145.71954
1931-07-01,,87.15,,142.67578
1931-08-01,,62.537502,,109.575005
1931-09-01,,55.6375,,96.63907
1931-10-01,,57.525,,55.92891
1931-11-01,,63.324997,,25.110939
1931-12-01,,10.087501,,11.4140625
1932-01-01,,19.825,,13.696875
1932-02-01,,22.6,,17.882032
1932-03-01,,20.800001,,23.969532
1932-04-01,,57.35,,73.43047
1932-05-01,,76.424995,,120.22813
1932-06-01,,71.7,,143.05624
1932-07-01,,57.3625,,145.33907
1932-08-01,,83.662506,,122.51094
1932-09-01,,27.85,,82.56172
1932-10-01,,56.325005,,38.807816
1932-11-01,,49.287502,,17.882032
1932-12-01,,11.55,,12.175
1933-01-01,,26.087502,,19.403906
1933-02-01,,14.6375,,12.175
1933-03-01,,28.725,,33.100784
