time,p.ERA5_Land,p.CRUTS,e.ERA5_Land,e.CRUTS,i.NWM,o.NWM
1901-01-01,,26.460001,,30.4375,,
1901-02-01,,46.94,,43.221245,,
1901-03-01,,27.079998,,55.24407,,
1901-04-01,,21.95,,98.00876,,
1901-05-01,,51.06,,147.3175,,
1901-06-01,,7.46,,173.03719,,
1901-07-01,,8.325001,,226.30281,,
1901-08-01,,38.98,,194.49564,,
1901-09-01,,10.475,,139.40376,,
1901-10-01,,35.015003,,88.11656,,
1901-11-01,,12.975001,,51.43938,,
1901-12-01,,40.35,,26.93719,,
1902-01-01,,22.375,,27.545938,,
1902-02-01,,32.56,,45.960625,,
1902-03-01,,33.35,,53.265625,,
1902-04-01,,49.545002,,98.76969,,
1902-05-01,,25.704998,,134.68594,,
1902-06-01,,7.5200005,,188.10374,,
1902-07-01,,11.825,,201.9528,,
1902-08-01,,5.4950004,,189.62564,,
1902-09-01,,6.06,,145.79562,,
1902-10-01,,10.145,,91.61688,,
1902-11-01,,31.560003,,42.764687,,
1902-12-01,,30.36,,25.263126,,
1903-01-01,,67.84499,,25.415314,,
1903-02-01,,20.11,,21.154064,,
1903-03-01,,32.059998,,59.200935,,
1903-04-01,,31.560001,,96.03031,,
1903-05-01,,53.025,,122.05438,,
1903-06-01,,8.89,,187.95155,,
1903-07-01,,7.13,,204.69217,,
1903-08-01,,4.24,,203.4747,,
1903-09-01,,16.955,,131.03343,,
1903-10-01,,23.095,,82.78999,,
1903-11-01,,34.609997,,47.025932,,
1903-12-01,,16.755001,,19.327814,,
1904-01-01,,38.83,,20.84969,,
1904-02-01,,62.68,,45.50406,,
1904-03-01,,90.505,,61.179382,,
1904-04-01,,29.844997,,104.85718,,
1904-05-01,,49.374996,,135.2947,,
1904-06-01,,12.379999,,172.88498,,
1904-07-01,,12.365001,,207.1272,,
1904-08-01,,20.215002,,192.365,,
1904-09-01,,7.2650003,,149.29593,,
1904-10-01,,28.545002,,81.87687,,
1904-11-01,,0.28,,52.200317,,
1904-12-01,,25.814999,,27.241562,,
1905-01-01,,23.1,,31.654999,,
1905-02-01,,28.405003,,41.090626,,
1905-03-01,,52.129997,,69.245316,,
1905-04-01,,41.75,,110.64032,,
1905-05-01,,51.830006,,121.75,,
1905-06-01,,11.765,,178.05937,,
1905-07-01,,9.320001,,214.27998,,
1905-08-01,,17.815,,197.23502,,
1905-09-01,,35.995003,,144.73032,,
1905-10-01,,7.959999,,74.72407,,
1905-11-01,,23.965,,47.330315,,
1905-12-01,,21.645,,16.740625,,
1906-01-01,,49.559998,,21.610628,,
1906-02-01,,35.15,,36.068436,,
1906-03-01,,71.145,,59.961876,,
1906-04-01,,53.100006,,99.530624,,
1906-05-01,,77.65501,,127.07658,,
1906-06-01,,28.715,,159.18811,,
1906-07-01,,11.19,,209.86655,,
1906-08-01,,67.15,,181.71188,,
1906-09-01,,22.244999,,134.38156,,
1906-10-01,,10.665,,82.63781,,
1906-11-01,,35.825,,40.32969,,
1906-12-01,,46.475002,,34.546562,,
1907-01-01,,66.86,,29.372187,,
1907-02-01,,65.784996,,49.00437,,
1907-03-01,,60.135,,61.635937,,
1907-04-01,,34.45,,104.248436,,
1907-05-01,,49.659996,,129.05501,,
1907-06-01,,48.15,,157.05748,,
1907-07-01,,5.735,,209.25781,,
1907-08-01,,29.875,,185.66878,,
1907-09-01,,10.6,,143.51282,,
1907-10-01,,25.115,,92.53001,,
1907-11-01,,9.480001,,46.569374,,
1907-12-01,,62.45,,24.654377,,
1908-01-01,,22.835003,,22.828127,,
1908-02-01,,24.435,,39.11219,,
1908-03-01,,36.8,,64.83188,,
1908-04-01,,11.625,,116.11906,,
1908-05-01,,85.03501,,116.271255,,
1908-06-01,,50.24,,153.10063,,
1908-07-01,,15.209999,,214.12778,,
1908-08-01,,27.580002,,182.47281,,
1908-09-01,,42.71,,138.49063,,
1908-10-01,,67.08,,65.592804,,
1908-11-01,,26.05,,43.525623,,
1908-12-01,,18.74,,23.893436,,
1909-01-01,,88.09,,36.981567,,
1909-02-01,,63.945,,38.199066,,
1909-03-01,,43.485,,57.52688,,
1909-04-01,,31.235,,91.616875,,
1909-05-01,,43.769997,,122.05437,,
1909-06-01,,8.26,,189.32124,,
1909-07-01,,29.720001,,211.08406,,
1909-08-01,,43.65,,193.27814,,
1909-09-01,,43.629997,,130.88126,,
1909-10-01,,17.655,,89.18188,,
1909-11-01,,71.265,,49.156563,,
1909-12-01,,51.960003,,18.414692,,
1910-01-01,,43.29,,22.980316,,
1910-02-01,,41.19,,33.937813,,
1910-03-01,,21.815,,81.5725,,
1910-04-01,,11.460001,,122.96751,,
1910-05-01,,16.495,,147.62189,,
1910-06-01,,0.8999999,,199.67001,,
1910-07-01,,14.805,,219.15,,
1910-08-01,,6.2199993,,197.53938,,
1910-09-01,,17.2,,148.38281,,
1910-10-01,,34.605,,83.70313,,
1910-11-01,,20.315,,50.830627,,
1910-12-01,,34.665,,27.089375,,
1911-01-01,,63.46,,33.937813,,
1911-02-01,,34.230003,,28.763433,,
1911-03-01,,42.795,,67.875626,,
1911-04-01,,30.225002,,96.943436,,
1911-05-01,,29.555002,,133.46844,,
1911-06-01,,25.670002,,178.36375,,
1911-07-01,,6.7599998,,206.975,,
1911-08-01,,1.3799999,,200.8875,,
1911-09-01,,27.0,,142.90407,,
1911-10-01,,36.005,,77.31126,,
1911-11-01,,27.414999,,39.72094,,
1911-12-01,,22.185,,24.502188,,
1912-01-01,,25.564999,,31.80719,,
1912-02-01,,25.63,,41.851566,,
1912-03-01,,61.910004,,61.940315,,
1912-04-01,,51.35,,87.507805,,
1912-05-01,,35.38,,124.79376,,
1912-06-01,,21.09,,178.9725,,
1912-07-01,,32.055,,199.97438,,
1912-08-01,,33.885,,179.58125,,
1912-09-01,,20.520002,,117.94531,,
1912-10-01,,74.815,,72.13687,,
1912-11-01,,31.965002,,43.37344,,
1912-12-01,,13.405002,,22.980312,,
1913-01-01,,24.024998,,25.415314,,
1913-02-01,,27.654999,,36.525,,
1913-03-01,,40.655006,,58.28781,,
1913-04-01,,25.77,,111.85781,,
1913-05-01,,21.06,,143.36063,,
1913-06-01,,68.310005,,175.92874,,
1913-07-01,,24.555,,199.21342,,
1913-08-01,,14.464998,,193.12593,,
1913-09-01,,24.740002,,136.20782,,
1913-10-01,,27.91,,74.87625,,
1913-11-01,,46.565006,,42.764687,,
1913-12-01,,32.189995,,24.654375,,
1914-01-01,,80.18501,,29.828754,,
1914-02-01,,23.565,,38.50344,,
1914-03-01,,24.18,,70.76719,,
1914-04-01,,51.355,,101.661255,,
1914-05-01,,18.445,,152.49187,,
1914-06-01,,65.759995,,168.92812,,
1914-07-01,,30.924997,,204.23563,,
1914-08-01,,7.69,,198.4525,,
1914-09-01,,14.555,,143.36063,,
1914-10-01,,40.155003,,82.94219,,
1914-11-01,,3.3850002,,46.417187,,
1914-12-01,,12.075002,,23.741251,,
1915-01-01,,25.77,,24.35,,
1915-02-01,,53.989998,,40.1775,,
1915-03-01,,23.44,,73.50656,,
1915-04-01,,49.46,,122.35875,,
1915-05-01,,63.785004,,122.35875,,
1915-06-01,,21.105,,170.1456,,
1915-07-01,,7.165,,209.56218,,
1915-08-01,,3.2849998,,206.36626,,
1915-09-01,,49.095,,131.49,,
1915-10-01,,2.1250002,,97.09563,,
1915-11-01,,26.895,,46.721558,,
1915-12-01,,26.225,,26.785,,
1916-01-01,,64.705,,27.089375,,
1916-02-01,,46.155003,,39.56875,,
1916-03-01,,54.190002,,70.15843,,
1916-04-01,,21.615002,,109.11843,,
1916-05-01,,15.62,,124.185,,
1916-06-01,,11.885,,178.82034,,
1916-07-01,,12.785001,,212.30154,,
1916-08-01,,17.814999,,188.10376,,
1916-09-01,,10.425,,149.29593,,
1916-10-01,,63.325,,75.18063,,
1916-11-01,,16.095,,38.960003,,
1916-12-01,,61.865,,22.21938,,
1917-01-01,,31.194998,,17.501564,,
1917-02-01,,48.155,,26.785,,
1917-03-01,,26.855001,,40.93844,,
1917-04-01,,38.120003,,79.44188,,
1917-05-01,,70.73499,,115.96688,,
1917-06-01,,5.1700006,,177.14626,,
1917-07-01,,27.010004,,222.34595,,
1917-08-01,,6.4950004,,191.29968,,
1917-09-01,,22.865,,147.01314,,
1917-10-01,,1.7049999,,94.05189,,
1917-11-01,,29.684998,,45.047497,,
1917-12-01,,12.715,,46.569378,,
1918-01-01,,62.05999,,31.959377,,
1918-02-01,,34.055,,35.307503,,
1918-03-01,,33.125004,,70.462814,,
1918-04-01,,16.975,,97.55219,,
1918-05-01,,34.135,,135.75125,,
1918-06-01,,19.185,,207.1272,,
1918-07-01,,28.45,,210.17094,,
1918-08-01,,5.68,,184.9078,,
1918-09-01,,29.644999,,147.01312,,
1918-10-01,,40.969997,,79.898445,,
1918-11-01,,26.070002,,40.02531,,
1918-12-01,,16.61,,25.415314,,
1919-01-01,,2.5449996,,31.350626,,
1919-02-01,,53.355003,,42.76469,,
1919-03-01,,21.855001,,69.093124,,
1919-04-01,,31.349997,,110.03157,,
1919-05-01,,24.835001,,155.99219,,
1919-06-01,,0.7850001,,205.14876,,
1919-07-01,,6.7,,227.36813,,
1919-08-01,,11.440001,,199.67,,
1919-09-01,,38.379997,,138.33842,,
1919-10-01,,53.905006,,59.20094,,
1919-11-01,,24.130001,,42.30813,,
1919-12-01,,32.850002,,20.849691,,
1920-01-01,,16.91,,30.133123,,
1920-02-01,,28.125004,,48.243435,,
1920-03-01,,57.175007,,58.439995,,
1920-04-01,,62.964996,,77.46343,,
1920-05-01,,34.16,,129.05502,,
1920-06-01,,7.9550004,,177.45064,,
1920-07-01,,9.035,,220.06311,,
1920-08-01,,29.544998,,187.19063,,
1920-09-01,,24.695002,,133.62064,,
1920-10-01,,77.18001,,67.26688,,
1920-11-01,,30.295002,,40.329693,,
1920-12-01,,40.135002,,25.71969,,
1921-01-01,,44.99,,28.76344,,
1921-02-01,,35.665,,37.13375,,
1921-03-01,,38.86,,71.22375,,
1921-04-01,,62.560005,,89.48625,,
1921-05-01,,51.65,,132.40314,,
1921-06-01,,8.225,,185.66875,,
1921-07-01,,18.230001,,214.88875,,
1921-08-01,,22.505001,,187.19064,,
1921-09-01,,10.99,,135.44688,,
1921-10-01,,26.220005,,97.55219,,
1921-11-01,,17.259998,,56.46156,,
1921-12-01,,65.17,,34.39437,,
1922-01-01,,40.989998,,18.566875,,
1922-02-01,,53.030006,,33.329063,,
1922-03-01,,38.1,,47.02594,,
1922-04-01,,49.685,,75.94157,,
1922-05-01,,27.805002,,133.01187,,
1922-06-01,,11.845,,202.10501,,
1922-07-01,,18.045,,211.08406,,
1922-08-01,,41.469997,,193.88689,,
1922-09-01,,1.805,,157.2097,,
1922-10-01,,13.090001,,91.00813,,
1922-11-01,,43.195,,35.459694,,
1922-12-01,,57.07,,28.915625,,
1923-01-01,,52.670002,,28.915628,,
1923-02-01,,13.675001,,26.785,,
1923-03-01,,28.364996,,50.830627,,
1923-04-01,,68.105,,90.70375,,
1923-05-01,,38.269997,,134.68593,,
1923-06-01,,30.275003,,158.42719,,
1923-07-01,,15.605001,,212.45377,,
1923-08-01,,26.404999,,183.08154,,
1923-09-01,,32.095,,137.27313,,
1923-10-01,,53.835003,,66.65813,,
1923-11-01,,20.085,,48.09125,,
1923-12-01,,26.054998,,24.95875,,
1924-01-01,,16.055,,21.762814,,
1924-02-01,,14.85,,44.895313,,
1924-03-01,,46.46,,49.00437,,
1924-04-01,,13.33,,95.42156,,
1924-05-01,,24.425003,,148.99155,,
1924-06-01,,7.04,,191.60405,,
1924-07-01,,14.329999,,214.88875,,
1924-08-01,,7.55,,195.71312,,
1924-09-01,,10.839999,,141.53438,,
1924-10-01,,40.280003,,74.87625,,
1924-11-01,,21.675,,39.873127,,
1924-12-01,,66.97,,20.84969,,
1925-01-01,,21.015,,23.284687,,
1925-02-01,,31.66,,42.76469,,
1925-03-01,,38.25,,69.093124,,
1925-04-01,,41.644997,,97.552185,,
1925-05-01,,35.315002,,147.01314,,
1925-06-01,,51.704998,,163.2972,,
1925-07-01,,26.12,,216.10625,,
1925-08-01,,29.48,,183.53812,,
1925-09-01,,32.95,,127.07656,,
1925-10-01,,19.61,,78.37657,,
1925-11-01,,33.870003,,40.634068,,
1925-12-01,,22.22,,27.545938,,
1926-01-01,,25.280003,,25.567501,,
1926-02-01,,44.730003,,40.78625,,
1926-03-01,,18.135,,71.37593,,
1926-04-01,,38.33,,117.33656,,
1926-05-01,,44.195,,139.70813,,
1926-06-01,,7.375001,,197.53937,,
1926-07-01,,31.534998,,211.38846,,
1926-08-01,,22.115002,,190.0822,,
1926-09-01,,21.579998,,138.49062,,
1926-10-01,,10.315001,,87.50781,,
1926-11-01,,43.585,,51.74375,,
1926-12-01,,27.155003,,24.045626,,
1927-01-01,,30.25,,30.285309,,
1927-02-01,,51.914997,,39.72094,,
1927-03-01,,44.315,,59.6575,,
1927-04-01,,41.670002,,94.356255,,
1927-05-01,,38.155003,,122.51094,,
1927-06-01,,20.835001,,182.16844,,
1927-07-01,,10.745,,217.01938,,
1927-08-01,,17.125,,185.06,,
1927-09-01,,31.779995,,129.66377,,
1927-10-01,,29.689999,,86.4425,,
1927-11-01,,55.29,,50.830624,,
1927-12-01,,33.340004,,26.024063,,
1928-01-01,,15.245,,25.263126,,
1928-02-01,,15.470001,,40.78625,,
1928-03-01,,50.695,,69.85406,,
1928-04-01,,20.98,,92.83438,,
1928-05-01,,26.195002,,151.12218,,
1928-06-01,,25.495,,170.14565,,
1928-07-01,,10.315001,,216.10625,,
1928-08-01,,3.2599998,,194.19125,,
1928-09-01,,2.91,,156.75314,,
1928-10-01,,33.705,,83.55094,,
1928-11-01,,38.635,,40.634064,,
1928-12-01,,20.16,,20.849688,,
1929-01-01,,48.44,,27.089375,,
1929-02-01,,36.56,,29.524374,,
1929-03-01,,49.859997,,55.852814,,
1929-04-01,,61.76,,86.13813,,
1929-05-01,,6.135,,135.59906,,
1929-06-01,,28.789999,,176.5375,,
1929-07-01,,12.41,,215.80185,,
1929-08-01,,19.035,,195.71313,,
1929-09-01,,46.310005,,126.92439,,
1929-10-01,,18.65,,87.81219,,
1929-11-01,,6.1949997,,44.134373,,
1929-12-01,,14.315001,,36.82938,,
1930-01-01,,47.3,,21.306253,,
1930-02-01,,38.29,,41.699375,,
1930-03-01,,28.445002,,68.18,,
1930-04-01,,32.93,,121.750015,,
1930-05-01,,48.025,,124.3372,,
1930-06-01,,12.24,,185.21219,,
1930-07-01,,26.885004,,217.32376,,
1930-08-01,,62.270008,,182.32065,,
1930-09-01,,37.950005,,135.14249,,
1930-10-01,,43.37,,71.68031,,
1930-11-01,,29.759998,,33.024685,,
1930-12-01,,8.65,,8.979062,,
1931-01-01,,13.430002,,15.21875,,
1931-02-01,,15.735001,,31.807186,,
1931-03-01,,24.490002,,60.570625,,
1931-04-01,,24.145,,109.42281,,
1931-05-01,,24.315,,141.0778,,
1931-06-01,,3.3750005,,199.21346,,
1931-07-01,,18.155,,230.56406,,
1931-08-01,,14.770001,,198.90907,,
1931-09-01,,13.63,,141.07784,,
1931-10-01,,23.35,,87.81219,,
1931-11-01,,32.745003,,37.43813,,
1931-12-01,,44.785004,,18.414688,,
1932-01-01,,45.455,,19.480001,,
1932-02-01,,39.470005,,31.350622,,
1932-03-01,,40.945,,57.83125,,
1932-04-01,,52.484997,,96.33469,,
1932-05-01,,20.885,,135.75125,,
1932-06-01,,34.795,,172.42844,,
1932-07-01,,20.530003,,208.64908,,
1932-08-01,,37.835003,,188.8647,,
1932-09-01,,1.635,,154.62251,,
1932-10-01,,14.505,,78.98532,,
1932-11-01,,13.985001,,49.765312,,
1932-12-01,,34.894997,,16.89281,,
1933-01-01,,47.895,,24.654375,,
1933-02-01,,22.710001,,21.762812,,
1933-03-01,,21.35,,51.439373,,
1933-04-01,,34.915,,91.008125,,
1933-05-01,,49.94,,110.94469,,
1933-06-01,,1.59,,201.19186,,
1933-07-01,,8.9,,225.2375,,
1933-08-01,,6.9449997,,190.38657,,
1933-09-01,,10.025,,151.57877,,
1933-10-01,,6.999999,,102.270004,,
1933-11-01,,6.9449997,,47.33031,,
1933-12-01,,33.325,,36.82938,,
1934-01-01,,24.735,,29.067814,,
1934-02-01,,42.835,,56.15719,,
1934-03-01,,14.82,,90.85594,,
1934-04-01,,9.12,,133.77281,,
1934-05-01,,2.725,,173.34158,,
1934-06-01,,18.07,,184.14688,,
1934-07-01,,18.654999,,223.71562,,
1934-08-01,,17.244999,,203.17032,,
1934-09-01,,15.160001,,140.92563,,
1934-10-01,,20.345,,91.616875,,
1934-11-01,,53.375,,46.112812,,
1934-12-01,,35.02,,25.719687,,
1935-01-01,,16.400002,,31.350626,,
1935-02-01,,21.9,,40.32969,,
1935-03-01,,29.125,,62.244682,,
1935-04-01,,56.549995,,101.66124,,
1935-05-01,,57.175,,118.70625,,
1935-06-01,,2.3449998,,189.32124,,
1935-07-01,,2.73,,220.82407,,
1935-08-01,,11.435,,199.9744,,
1935-09-01,,7.999999,,156.14438,,
